System;Total production;Total surplus;Total shortage;Total unused;Net surplus;Average cost;Difference from arbitrage
Renewables only;9045978.98019797;1068375.68610855;-1908926.01505756;1404848.75768955;-840550.328949012;119.032084717427;0
Renewables only;9686674.52324852;1189544.69728482;-1446080.56520967;1950816.84011916;-256535.867924842;102.681707171995;0
Renewables only;10223451.1819448;1227425.47280155;-1490488.55444954;2249230.49577173;-263063.081647987;166.943093311608;0
Renewables only;8139439.4159656;935299.707863503;-2204050.52108251;1322553.66780802;-1268750.813219;73.1849202421749;0
Renewables only;8907939.80590992;1058316.97874105;-1832537.63794304;1437952.6952529;-774220.659201996;111.13813011414;0
Renewables only;10122885.909916;1209576.57354932;-1476466.74819735;2388171.75477166;-266890.174648031;73.2027830136139;0
Renewables only;9166158.08677309;1047954.46968632;-1871558.82721103;1873738.76824109;-823604.357524714;85.2748344512095;0
Renewables only;8198326.00965378;909375.259146389;-2046254.96546791;1378267.68310369;-1136879.70632152;134.161697699711;0
Renewables only;9751563.94128625;1236565.98884086;-1554952.38434487;2054570.59155104;-318386.395504013;112.941004260313;0
Renewables only;8023044.79936957;886448.886310641;-2402023.51693831;1188408.89199167;-1515574.63062767;84.1054410967199;0
Renewables only;9142332.47681676;1110916.31683539;-1640923.77239664;1612447.61191148;-530007.455561251;63.2556935892338;0
Renewables only;11285858.3599621;1459760.26160001;-1177585.93713167;2738236.68316622;282174.324468344;93.6088594780707;0
Renewables only;9428004.64806679;1172151.64037306;-1873076.64127778;1723446.80386699;-700925.000904723;126.649144556226;0
Renewables only;10952455.9340577;1397858.13456193;-1253936.79523127;2643154.44990271;143921.33933066;186.451644316084;0
Renewables only;9492550.45170956;1160759.89410371;-1661954.2368157;1736148.25125299;-501194.342711982;115.227803204896;0
Renewables only;8235071.38451632;928511.463466919;-2275964.29931304;1213499.17106878;-1347452.83584612;206.80154013646;0
Renewables only;8972110.32808899;1064734.72003496;-1970578.22773049;1746243.66482243;-905843.507695534;111.279413253121;0
Renewables only;8012604.60626528;899069.042618847;-2462519.00166977;1252367.72146203;-1563449.95905092;113.047991459968;0
Renewables only;8718053.0126852;1014086.89902497;-2265654.64972377;1697000.5429873;-1251567.7506988;70.3467612077341;0
Renewables only;9274139.3363102;1079508.45437372;-1554728.60275632;1636317.03397523;-475220.148382596;106.832406535763;0
Renewables only;10180339.5853287;1262890.0184528;-1496332.33360046;2256739.61805605;-233442.315147668;192.048885392524;0
Renewables only;8985879.57081749;1089024.65410233;-1914614.03931026;1739218.10342706;-825589.385207929;186.128365269258;0
